text,label,target,text_pl
"House GOP Response To Gun Sit-In Is ‘Putin-Like,’ Democrat Says",news,0,Reakcja Partii Republikańskiej w Izbie Reprezentantów na okupację z bronią jest „w stylu Putina” - mówi Demokrata
Outrage as women are only allowed to run 6 miles (inside a closed-off stadium with no male spectators) in Tehran's first-ever 26 mile marathon,news,0,"Oburzenie po tym, jak kobietom wolno przebiec tylko 6 mil (na zamkniętym stadionie bez męskiej widowni) podczas pierwszego w historii maratonu w Teheranie na dystansie 26 mil"
Rockefeller says Iraq is draining funds,news,0,"Rockefeller twierdzi, że Irak marnuje fundusze"
How Ready For Valentine's Day Are You Really,clickbait,1,Jak bardzo jesteś gotowy na Walentynki
Trump: ‘I’m a Nationalist and a Globalist’,clickbait,1,Trump: „Jestem nacjonalistą i globalistą”
Which Hogwarts Houses Do The Disney Princesses Belong In,clickbait,1,Do jakich domów w Hogwarcie należą księżniczki Disneya
"The Cast Of ""Dr. Horrible's Sing-Along Blog"" Reunited",clickbait,1,Obsada „Blogu do wspólnego śpiewania doktora Horrible’a” ponownie się zjednoczyła
"Bill Nye and Tyler, The Creator just dropped the hottest theme song ever",clickbait,1,"Bill Nye i Tyler, The Creator właśnie wydali najgorętszą piosenkę przewodnią wszechczasów"
Democratic senator says Trump’s ’major pivots in foreign policy’ are ’how wars start’,news,0,"Senator Demokratów twierdzi, że „głównymi zwrotami w polityce zagranicznej” Trumpa jest to, „jak zaczynają się wojny”"
U.S.-Backed ‘Moderate’ Syrian Rebels: Beheading Boy Was a ’Mistake’,news,0,Wspierani przez USA „umiarkowani” syryjscy rebelianci: Ścięcie chłopca było „błędem”
Rumours suggest Alonso and Schumacher could move to Ferrari,news,0,"Plotki sugerują, że Alonso i Schumacher mogą przenieść się do Ferrari"
Man Is Arrested in Obama Threat,news,0,Mężczyzna aresztowany w związku z groźbami Obamy
Rubes’ Grief Counseling Session,news,0,Sesja doradcza w zakresie żałoby Rubesa
21 Recipes That Will Completely Transform Boring Leftovers,clickbait,1,"21 przepisów, które całkowicie odmienią nudne resztki"
Hills Hoist ownership changes hands but iconic clothesline hangs on to its place in backyard culture,news,0,"Właściciele Hills Hoist zmieniają właścicieli, ale kultowy sznur na bieliznę pozostaje na swoim miejscu w kulturze podwórkowej"
Metals: Gold Hits One-Month High,news,0,Metale: Złoto osiąga najwyższy poziom od miesiąca
Grandparents Predict The Food Trends Of 2016,clickbait,1,Dziadkowie przewidują trendy żywieniowe w 2016 roku
US President Obama proposes financial reform,news,0,Prezydent USA Obama proponuje reformę finansową
International Talk Like A Pirate Day held on Saturday,news,0,W sobotę odbył się Międzynarodowy Dzień Mówienia Jak Pirat
Watch This Guy Age From 12 To 20 Years Old In Two Minutes With This Incredible Selfie Time Lapse,clickbait,1,"Zobacz, jak ten facet ma od 12 do 20 lat w dwie minuty dzięki temu niesamowitemu poklatkowemu selfie"
"Ben Affleck Says He's Not Directing 'The Batman,' Surprising Nobody",news,0,"Ben Affleck twierdzi, że nie reżyseruje „Batmana”, co nikogo nie dziwi"
Beehives stolen as New Zealand honey prices soar; crime ring blamed ,news,0,Kradzieże uli w związku ze wzrostem cen miodu w Nowej Zelandii;obwiniony krąg przestępczy
Fox News Poll:  A majority says 'move on' from protesting Trump ,news,0,"Sonda Fox News: Większość twierdzi, że należy „odstawić” protest przeciwko Trumpowi"
What Stephen Curry’s Free Throws Can Teach Investors - The Experts,clickbait,1,Czego rzuty wolne Stephena Curry’ego mogą nauczyć inwestorów - eksperci
Stop Everything You're Doing And Watch This Grandma Try Virtual Reality For The First Time,clickbait,1,"Zatrzymaj wszystko, co robisz i zobacz, jak babcia po raz pierwszy próbuje wirtualnej rzeczywistości"
Unknown poems by Katherine Mansfield found in a Chicago library,news,0,Nieznane wiersze Katherine Mansfield znalezione w bibliotece w Chicago
"Website of Bill O'Reilly, FOX News commentator, hacked in retribution",news,0,"Strona internetowa Billa O'Reilly'ego, komentatora FOX News, zhakowana w ramach odwetu"
"7 'New' Features Apple Just Stole From Microsoft, Google, and Itself",clickbait,1,"7 „nowych” funkcji, które Apple właśnie ukradł Microsoftowi, Google i sobie"
Here's How To Wrap A Present Like An Actual Adult,clickbait,1,Oto jak zapakować prezent jak prawdziwy dorosły
Syrian Band Brings Music of Aleppo to Berlin,news,0,Syryjski zespół przenosi muzykę z Aleppo do Berlina
24 Things Miley Cyrus Does Now That Hannah Montana Would Never Have Done,clickbait,1,"24 rzeczy, które Miley Cyrus robi teraz, a których Hannah Montana nigdy by nie zrobiła"
This Is The Most Unbelievably Simple And Unbelievably Gross Prank You'll Ever See,clickbait,1,"To najbardziej niewiarygodnie prosty i niewiarygodnie obrzydliwy dowcip, jaki kiedykolwiek zobaczysz"
27 Times Michael Scott Fucking Blew It,clickbait,1,27 razy Michael Scott wszystko schrzanił
Must-have 'fatbit' fitness gadgets can exaggerate your step count by 25% every day ,clickbait,1,Niezbędne gadżety fitness „Fatbit” mogą codziennie zwiększać liczbę kroków o 25%.
"This Color Test Will Determine If You're Sexy, Hot, Or Cute",clickbait,1,"Ten test koloru określi, czy jesteś seksowna, seksowna czy urocza"
Kim Jong-Un is big fan of Serie A football after exploits of Cagliari's North Korean striker Kwang-Song Han,news,0,Kim Dzong-Un jest wielkim fanem piłki nożnej Serie A po wyczynach północnokoreańskiego napastnika Cagliari Kwang-Song Han
WHO starts simultaneous immunization campaigns in over 100 countries,news,0,WHO rozpoczyna kampanie symultanicznych szczepień w ponad 100 krajach
Republican Congressman Ron Paul endorses Constitution Party nominee Chuck Baldwin for President of the United States,news,0,Republikański kongresman Ron Paul popiera kandydata Partii Konstytucyjnej Chucka Baldwina na prezydenta Stanów Zjednoczonych
21 Times You Used To Call Me On My Cell Phone,clickbait,1,21 razy dzwoniłeś do mnie na telefon komórkowy
There Is A Toad Controlled Robot And It's Adorably Terrifying,clickbait,1,Jest robot sterowany przez ropuchę i jest uroczo przerażający
US military commander in Afghanistan dismissed by President Obama,news,0,Dowódca wojskowy USA w Afganistanie odwołany przez prezydenta Obamę
How a Pennsylvania teenager feels about the future under Donald Trump,clickbait,1,Co nastolatek z Pensylwanii myśli o przyszłości pod rządami Donalda Trumpa?
British TV presenter Rico Daniels tells Wikinews about being 'The Salvager',news,0,Brytyjski prezenter telewizyjny Rico Daniels opowiada Wikinews o byciu „The Salvagerem”
"7 killed, 50 injured in Bangladesh shopping mall fire",news,0,"7 osób zginęło, a 50 zostało rannych w pożarze centrum handlowego w Bangladeszu"
Meet the robonauts: NASA's humanoid robots,clickbait,1,Poznaj robonautów: humanoidalne roboty NASA
We Surprised Our Coworkers With BB-8 And Here's What Happened,clickbait,1,Zaskoczyliśmy naszych współpracowników BB-8 i oto co się stało
This Band Shot A Stunning Music Video Entirely On Smartphones,clickbait,1,Ten zespół nakręcił oszałamiający teledysk w całości na smartfonach
Military plane crashes in Chilean Juan Fernández Archipelago; reports say no survivors,news,0,"Samolot wojskowy rozbija się na chilijskim archipelagu Juana Fernándeza;raporty mówią, że nikt nie przeżył"
Two Appetizers That You Must Serve At Your Thanksgiving Dinner This Year,clickbait,1,"Dwie przekąski, które musisz podać na tegorocznej kolacji z okazji Święta Dziękczynienia"
"Which Look From Rashida Jones' ""Flip And Rewind"" Are You",clickbait,1,Które spojrzenie z „Flip And Rewind” Rashidy Jones to ty?
"Trump’s Interests vs. America’s, Las Vegas Edition",news,0,"Zainteresowania Trumpa a interesy Ameryki, wydanie z Las Vegas"
17 Things You'll Understand If You're Addicted To Snacking,clickbait,1,"17 rzeczy, które zrozumiesz, jeśli jesteś uzależniony od przekąsek"
The Way This Horse Brings His Girlfriend Hay So They Can Eat Together Will Melt Your Heart,clickbait,1,"Sposób, w jaki ten koń przynosi swojej dziewczynie siano, żeby mogły razem zjeść, roztopi Twoje serce"
Millions Of People Have Fallen In Love With These Preemie Twins Holding Hands,clickbait,1,Miliony ludzi zakochały się w tych bliźniakach trzymających się za ręce
How Many U.S. State Capitals Do You Know,clickbait,1,Ile stolic stanów USA znasz
23 Things All Single Girls Are Tired Of Hearing,clickbait,1,"23 rzeczy, których słuchają wszystkie samotne dziewczyny"
Which Evil Mythical Creature Matches Your Zodiac Sign,clickbait,1,Które złe mityczne stworzenie pasuje do Twojego znaku zodiaku
"On Hot Day, a Dash of Spice at Palmer Invitational",news,0,W upalny dzień szczypta pikanterii na Palmer Invitational
Zombie Galaxy Note 7s reportedly have a release date,news,0,Według doniesień Zombie Galaxy Note 7 ma już ustaloną datę premiery
This Photo Series Shows How Instagram Photos Of India Can Hide The Big Picture,clickbait,1,"Ta seria zdjęć pokazuje, jak zdjęcia Indii z Instagrama mogą ukryć szerszy obraz"
A New Jets Administration Promises Change,news,0,Nowa administracja Jets obiecuje zmiany
Snape Is Probably Still Alive & This Fan Theory Proves It,clickbait,1,Snape prawdopodobnie wciąż żyje i ta teoria fanów to potwierdza
How Stanford Financial Dodged U.S. Regulators,news,0,Jak Stanford Financial ominął amerykańskie organy regulacyjne
11 Things No One Tells Women About Relationships In Their Twenties,clickbait,1,"11 rzeczy, których nikt nie mówi kobietom o związkach po dwudziestce"
Horrifying Video Shows Teen Jumping to His Death in Snapchat Stunt Gone Wrong,clickbait,1,Przerażające wideo pokazuje nastolatka skaczącego na śmierć podczas nieudanego stuntu na Snapchacie
Can You Name The First 20 Elements Of The Periodic Table,clickbait,1,Czy potrafisz wymienić pierwszych 20 elementów układu okresowego?
Bell Canada to discontinue beaver mascots,news,0,Bell Canada zaprzestanie produkcji maskotek bobrów
What Should You Be When You Grow Up,clickbait,1,"Kim powinieneś zostać, gdy dorośniesz"
Hillary Clinton and Elizabeth Warren Take Aim at Donald Trump - The New York Times,news,0,Hillary Clinton i Elizabeth Warren celują w Donalda Trumpa - The New York Times
"Are These Characters From ""Fallout 3"" Or ""Fallout: New Vegas""",clickbait,1,Czy są to postacie z „Fallout 3” czy „Fallout: New Vegas”
Amber Tamblyn Sums Up The Messiness Of Breastfeeding In One Photo,clickbait,1,Amber Tamblyn podsumowuje bałagan karmienia piersią na jednym zdjęciu
"29 Photos Guaranteed To Make ""Simpsons"" Fans Laugh Every Time",clickbait,1,"29 zdjęć, które za każdym razem rozśmieszą fanów „Simpsonów”"
27 Adorable Harry Potter Things Your Baby Needs,clickbait,1,"27 uroczych rzeczy z Harry'ego Pottera, których potrzebuje Twoje dziecko"
You Have To See This Trick That Will Magically Unclog Your Drain,clickbait,1,"Musisz zobaczyć tę sztuczkę, która w magiczny sposób odblokuje Twój odpływ"
"Donald Trump's first 100 days, in tweets",clickbait,1,Pierwsze 100 dni Donalda Trumpa w tweetach
Former Governor Enters Debate on A.I.G.,news,0,Były gubernator bierze udział w debacie na temat A.I.G.
"27 Reasons Paris Geller Is The True Heroine Of ""Gilmore Girls""",clickbait,1,"27 powodów, dla których Paris Geller jest prawdziwą bohaterką „Gilmore Girls”"
Trump Time Capsule #140: ’Lock Her Up’,news,0,Kapsuła czasu Trumpa nr 140: „Zamknij ją”
Third person charged in stabbing death of Conn. man last seen at NYC party,news,0,"Trzecia osoba oskarżona o zadźganie mężczyzny ze stanu Connecticut, ostatnio widziana na imprezie w Nowym Jorku"
"ITV fined A$3000 for cruelty to rat on ""I'm A Celebrity...Get Me Out Of Here!""",news,0,ITV ukarało grzywną w wysokości 3000 dolarów australijskich za okrucieństwo w programie „Jestem gwiazdą… Zabierz mnie stąd!”
Should 'Fearless Girl' stare down the Wall Street bull forever?,news,0,Czy „Fearless Girl” powinna wiecznie patrzeć na byka z Wall Street?
Automobile manufacturer Toyota triples annual loss prediction,news,0,Producent samochodów Toyota potraja prognozę rocznych strat
Do You Know The Names Of These Obscure Disney Characters,clickbait,1,Czy znasz imiona tych mało znanych postaci Disneya?
Rebecca Ferguson says she will play Trump inauguration if she can sing Strange Fruit,news,0,"Rebecca Ferguson twierdzi, że zagra inaugurację Trumpa, jeśli uda jej się zaśpiewać Strange Fruit"
Selena Gomez Had The Cutest Reaction To Taylor Swift Winning A Grammy,clickbait,1,Selena Gomez miała najsłodszą reakcję na zdobycie nagrody Grammy przez Taylor Swift
"Two girls shot in Chicago, critically wounded in separate incidents",news,0,"Dwie dziewczyny postrzelone w Chicago, ciężko ranne w wyniku odrębnych incydentów"
"Maliki Pushes for Election Gains, Despite Fears",news,0,Maliki pomimo obaw nalega na wygraną w wyborach
Innovation Is Overrated,news,0,Innowacja jest przereklamowana
Roger Federer and Rafael Nadal roll back years for unexpected encore,news,0,"Roger Federer i Rafael Nadal cofnęli się o lata, by uzyskać nieoczekiwany bis"
We Need To Talk About Nickelback,clickbait,1,Musimy porozmawiać o Nickelbacku
"For Snowboarders, Olympic Qualifying Is Slippery Slope",news,0,Dla snowboardzistów kwalifikacje olimpijskie to śliska trasa
"James O’Neill, Officer Since 1983, Will Step Into Police Dept.’s Top Job - The New York Times",news,0,"James O’Neill, funkcjonariusz od 1983 r., zajmie najważniejsze stanowisko w policji - The New York Times"
"27 Of The Most Iconic ""American Horror Story"" Quotes Of All Time",clickbait,1,27 najbardziej kultowych cytatów wszechczasów z „American Horror Story”
"Remembering Jenkem, The Greatest Internet Hoax",clickbait,1,"Pamiętając o Jenkemie, największym oszustwie internetowym"
10 Life-Changing Things To Try In February,clickbait,1,"10 rzeczy zmieniających życie, których warto spróbować w lutym"
"Sonu Nigam Shaves His Head Off, Kapil Sharma & Sunil Grover To Appear On A Show & More From Ent",clickbait,1,"Sonu Nigam goli głowę, Kapil Sharma i Sunil Grover, aby wystąpić w programie i nie tylko od Ent"
We Need To Talk About The Mannequins At Forever 21,clickbait,1,Musimy porozmawiać o manekinach w Forever 21
US President George Bush discusses 'war on terror',news,0,Prezydent USA George Bush omawia „wojnę z terroryzmem”
"Search for survivors of Canadian helicopter crash ends, recovery mission focuses on victims",news,0,"Poszukiwania ocalałych z katastrofy kanadyjskiego helikoptera dobiegły końca, misja odzyskiwania skupia się na ofiarach"
"23 Hilarious ""Toy Story"" Moments That'll Make You Laugh Every Time",clickbait,1,"23 zabawne momenty z „Toy Story”, które rozśmieszą Cię za każdym razem"
Stop What You're Doing And Go Stalk These Incredibly Beautiful Makeup Artists,clickbait,1,"Przestań robić to, co robisz i idź prześladować tych niesamowicie pięknych wizażystów"
These New Yorkers Dealt With A Stalled Subway Train By Starting A Drake Singalong,clickbait,1,"Ci nowojorczycy poradzili sobie z zatrzymanym metrem, uruchamiając Drake Singalong"
"They made him eat cat litter before killing him — and posted it all on Snapchat, police say",clickbait,1,"Zanim go zabili, zmusili go do zjedzenia kociego żwirku i opublikowali wszystko na Snapchacie - twierdzi policja"
19 Teachers Who Definitely Deserve A Raise,clickbait,1,"19 nauczycieli, którzy zdecydowanie zasługują na podwyżkę"
Trump Admits To 'Relationship' With Putin In Resurfaced Video,news,0,W ujawnionym nagraniu Trump przyznaje się do „stosunków” z Putinem
Fresh Fruit Sushi,clickbait,1,Świeże Owoce Sushi
"Flash flooding in Greece kills one, dozens of buildings flooded",news,0,"Gwałtowna powódź w Grecji zabija jedną osobę, zalewa dziesiątki budynków"
29 Mind-Blowing Things You Probably Didn’t Know About McDonald’s,clickbait,1,"29 niesamowitych rzeczy, których prawdopodobnie nie wiedziałeś o McDonaldzie"
What Thanksgiving Side Dish Are You,clickbait,1,Jakim przystawką na Święto Dziękczynienia jesteś?
Vladimir Putin warns of Olympic ‘schism’ after Russian doping revealed,news,0,Władimir Putin ostrzega przed „schizmą” olimpijską po ujawnieniu rosyjskiego dopingu
Here's How To Make The Only Birthday Cake You'll Ever Need,clickbait,1,"Oto jak zrobić jedyny tort urodzinowy, jakiego będziesz potrzebować"
Nigeria 'gay wedding' bust leads to charges,clickbait,1,Nigeryjska afera dotycząca „ślubu homoseksualnego” z zarzutami
"Affordable Housing Program Costs More, Shelters Fewer",news,0,"Program niedrogich mieszkań kosztuje więcej, schronisk mniej"
Are You Team Marvel Or Team Capcom,clickbait,1,Czy jesteś drużyną Marvel czy drużyną Capcom
Try Not To Die Watching Channing Tatum Whisper Sweet Nothings To A Stranger,clickbait,1,"Spróbuj nie umrzeć, oglądając, jak Channing Tatum szepcze nieznajomemu słodkie słówka"
Capturing the swarm,news,0,Schwytanie roju
"Daniel Radcliffe And James McAvoy Play ""Never Have I Ever""",clickbait,1,Daniel Radcliffe i James McAvoy grają „Nigdy przenigdy”
19 Conveniently Portable Items That Will Change Your Life,clickbait,1,"19 wygodnie przenośnych przedmiotów, które odmienią Twoje życie"
How Chill Are You,clickbait,1,Jak wyluzowany jesteś
Hedge fund Spear Point Capital expected to take over Salon Media,news,0,"Oczekuje się, że fundusz hedgingowy Spear Point Capital przejmie Salon Media"
Boeing Executive Sees Recovery in Airline Traffic,news,0,Dyrektor Boeinga widzi ożywienie w ruchu lotniczym
A Man Walks For The First Time After Years Of Paralysis And It's Incredibly Inspiring,clickbait,1,Mężczyzna chodzi po raz pierwszy po latach paraliżu i jest to niezwykle inspirujące
19 Things Anyone Who's Best Friends With Their Mum As An Adult Will Understand,clickbait,1,"19 rzeczy, które zrozumie każdy, kto jako dorosły przyjaźni się z mamą"
Northeast blizzard could dump 18 inches of snow on New York ,news,0,Zamieć północno-wschodnia może zrzucić na Nowy Jork 18 cali śniegu
Georgia student in police beating video says he feared for his life,news,0,"Student z Gruzji na nagraniu wideo pobicia przez policję twierdzi, że obawiał się o swoje życie"
When Was The Exact Moment You Fell In Love With Your S.O,clickbait,1,"Kiedy był dokładnie moment, w którym zakochałeś się w swoim S.O"
"MAFIA EU: Farage Blasts Bloc’s ‘Vindictive, Nasty’ Demands’",clickbait,1,"MAFIA UE: Farage krytykuje „mściwe, paskudne” żądania bloku"
"18 Reasons You Need To Be Watching ""Billy On The Street""",clickbait,1,"18 powodów, dla których warto obejrzeć „Billy On The Street”"
"Anupam Kher Creates Website To Help Lonely And Depressed People, Shares His E-mail ID",news,0,"Anupam Kher tworzy stronę internetową, aby pomóc osobom samotnym i przygnębionym, udostępnia swój adres e-mail"
Russian Biggest Steelmaker Bets on E-Commerce to Boost Sales,news,0,"Największy rosyjski producent stali stawia na handel elektroniczny, aby zwiększyć sprzedaż"
"Preakness won by Afleet Alex, Kentucky Derby Winner Third",news,0,"Preakness wygrał Afleet Alex, trzeci zwycięzca Kentucky Derby"
Joel Embiid Injury: Updates on 76ers Center's Foot and Recovery,news,0,Kontuzja Joela Embiida: aktualizacje dotyczące stopy i regeneracji 76ers Center
Kasich Defends Comment On Sexual Assault And Boozy Parties,news,0,Kasich broni komentarzy na temat napaści na tle seksualnym i imprez pod wpływem alkoholu
"11 Internet Cartoons That Will Make You Feel ""Popeful""",clickbait,1,"11 internetowych kreskówek, które sprawią, że poczujesz się „papieżowo”"
Iran's foreign minister mocks Donald Trump 'putting him on notice',news,0,"Minister spraw zagranicznych Iranu kpi z Donalda Trumpa, „zwracając na niego uwagę”"
19 Jaw-Dropping Wedding Venues For Book Lovers,clickbait,1,19 oszałamiających miejsc weselnych dla miłośników książek
Vietnam record drug seizure suspects convicted,news,0,Rekord w Wietnamie skazany za konfiskatę narkotyków
US Army sergeant asserts Posse Comitatus is not being violated,news,0,"Sierżant armii amerykańskiej zapewnia, że ​​Posse Comitatus nie jest naruszany"
World's oldest seaborne passenger vessel on tour as floating library,news,0,Najstarszy morski statek pasażerski na świecie w trasie jako pływająca biblioteka
Philae comet lander 'wakes up' from hibernation to resume Rosetta mission,news,0,"Lądownik komety Philae „budzi się” ze stanu hibernacji, aby wznowić misję Rosetta"
21 Questions Every Single Person In L.A. Has Asked Themselves,clickbait,1,"21 pytań, które zadała sobie każda osoba w Los Angeles"
Roger Federer wins the French Open at Roland Garros,news,0,Roger Federer wygrywa French Open na kortach Rolanda Garrosa
I Wore Food On My Face Instead Of Makeup To See If Anyone Would Notice,clickbait,1,"Zamiast makijażu nakładałam jedzenie na twarz, żeby zobaczyć, czy ktoś to zauważy"
Brush fire gets close to animal park near San Diego,news,0,Pożar pędzli zbliża się do parku zwierząt w pobliżu San Diego
How safe is your DNA?,clickbait,1,Jak bezpieczne jest Twoje DNA?
Can We Guess If You'll Get Married This Year Based On Your Favorite Emoji,clickbait,1,"Czy zgadniemy, czy wyjdziesz za mąż w tym roku, na podstawie Twojej ulubionej emoji?"
"HarperCollins India Is Giving Paid 'Pawternity Leave' To Staff When They Get A Pet, How Adorable Is That!",news,0,"HarperCollins India przyznaje pracownikom płatny urlop wypoczynkowy, gdy dostaną zwierzę. Jakie to urocze!"
This Guy Invented Extra Long Selfie Arms And It's The Weirdest Thing Ever,clickbait,1,Ten facet wynalazł wyjątkowo długie ramiona do selfie i to najdziwniejsza rzecz w historii
Bitcoin’s murkier rivals line up to displace it as cybercriminals’ favourite,news,0,"Mroczniejsi rywale Bitcoina szykują się, by zastąpić go ulubieńcem cyberprzestępców"
Comcast wants be your new cellphone carrier. Here’s everything you need to know.,clickbait,1,"Comcast chce być Twoim nowym operatorem telefonii komórkowej.Oto wszystko, co musisz wiedzieć."
17 Mind-Blowingly Delicious Noodles To Try In NYC,clickbait,1,"17 niesamowicie pysznych makaronów, których możesz spróbować w Nowym Jorku"
Man commits suicide by jumping from Burj Khalifa,news,0,"Mężczyzna popełnia samobójstwo, skacząc z Burdż Chalifa"
Chilean President visits Pichilemu to inaugurate Agustín Ross Cultural Centre,news,0,"Prezydent Chile odwiedza Pichilemu, aby inaugurować Centrum Kultury Agustína Rossa"
